"Index","crix","btc","dash","xrp","xmr","ltc","doge","nxt","nmc","Euribor_1Y","Euribor_3M","Euribor_6M","Open_price_EuroUK","High_price_EuroUK","Low_price_EuroUK","Close_price_EuroUK","Open_price_EuroUS","High_price_EuroUS","Low_price_EuroUS","Close_price_EuroUS","Open_Price_USJPY","High_Price_USJPY","Low_Price_USJPY","Close_Price_USJPY","lowerBand_crix","lowerBand_btc","lowerBand_dash","lowerBand_xrp","lowerBand_xmr","lowerBand_ltc","lowerBand_doge","lowerBand_nxt","lowerBand_nmc","lowerBand_Euribor_1Y","lowerBand_Euribor_3M","lowerBand_Euribor_6M","lowerBand_Open_price_EuroUK","lowerBand_High_price_EuroUK","lowerBand_Low_price_EuroUK","lowerBand_Close_price_EuroUK","lowerBand_Open_price_EuroUS","lowerBand_High_price_EuroUS","lowerBand_Low_price_EuroUS","lowerBand_Close_price_EuroUS","lowerBand_Open_Price_USJPY","lowerBand_High_Price_USJPY","lowerBand_Low_Price_USJPY","lowerBand_Close_Price_USJPY","middleBand_crix","middleBand_btc","middleBand_dash","middleBand_xrp","middleBand_xmr","middleBand_ltc","middleBand_doge","middleBand_nxt","middleBand_nmc","middleBand_Euribor_1Y","middleBand_Euribor_3M","middleBand_Euribor_6M","middleBand_Open_price_EuroUK","middleBand_High_price_EuroUK","middleBand_Low_price_EuroUK","middleBand_Close_price_EuroUK","middleBand_Open_price_EuroUS","middleBand_High_price_EuroUS","middleBand_Low_price_EuroUS","middleBand_Close_price_EuroUS","middleBand_Open_Price_USJPY","middleBand_High_Price_USJPY","middleBand_Low_Price_USJPY","middleBand_Close_Price_USJPY","upperBand_crix","upperBand_btc","upperBand_dash","upperBand_xrp","upperBand_xmr","upperBand_ltc","upperBand_doge","upperBand_nxt","upperBand_nmc","upperBand_Euribor_1Y","upperBand_Euribor_3M","upperBand_Euribor_6M","upperBand_Open_price_EuroUK","upperBand_High_price_EuroUK","upperBand_Low_price_EuroUK","upperBand_Close_price_EuroUK","upperBand_Open_price_EuroUS","upperBand_High_price_EuroUS","upperBand_Low_price_EuroUS","upperBand_Close_price_EuroUS","upperBand_Open_Price_USJPY","upperBand_High_Price_USJPY","upperBand_Low_Price_USJPY","upperBand_Close_Price_USJPY"
2014-07-31,1000,583.18210574319,5.55719713119959,0.005208,2.55681917961166,7.53779223312193,0.000206899136844536,0.0449477804413127,1.55055968090438,0.489,0.209,0.306,0.7912,0.7942,0.7905,0.7925,1.3395,1.34,1.337,1.3388,102.78,103,102.69,102.79,778.053031880323,455.153803720412,1.40599895143216,0.0048251469535189,1.38761789156524,3.67767974458282,8.72415448964619e-05,0.02280034382652,0.871177305684805,0.442609048650263,0.169389213189385,0.270903426970285,0.790269848081887,0.794093801561994,0.788976583280717,0.791871656122715,1.31929925591442,1.32120057183802,1.31518203586721,1.3167046427541,101.371367930086,101.59738317288,101.077476568565,101.38238905993,925.454614656885,540.54003383718,4.17599153469059,0.00515184777777778,1.99089089650617,5.96602103428255,0.000151228726253057,0.0353872430252718,1.28956559024141,0.473335555555556,0.194826666666667,0.295103333333333,0.796887,0.799554444444444,0.794936333333333,0.798067888888889,1.33380288888889,1.33670166666667,1.33065622222222,1.33375644444444,102.851988888889,103.0932,102.5505,102.855466666667,1072.85619743345,625.926263953948,6.94598411794901,0.00547854860203665,2.5941639014471,8.25436232398229,0.000215215907609652,0.0479741422240237,1.70795387479801,0.504062062460848,0.220264120143948,0.319303239696381,0.803504151918113,0.805015087326895,0.800896083385949,0.804264121655063,1.34830652186336,1.35220276149531,1.34613040857724,1.35080824613479,104.332609847691,104.58901682712,104.023523431435,104.328544273403
2014-08-01,1018.20271680782,593.865527395367,5.63566869369418,0.005341,2.6397553398254,7.6711270111655,0.000209305753650377,0.0444786127009417,1.58394561753234,0.489,0.208,0.308,0.7925,0.7985,0.7918,0.7979,1.339,1.3444,1.3377,1.3429,102.78,103.02,102.32,102.61,782.510995762438,457.696040578519,1.51299210804088,0.00483031362018557,1.39828494389438,3.75399434825045,8.97216812136159e-05,0.0234213466194538,0.883237860749068,0.444309048650263,0.170789213189385,0.272203426970285,0.790119848081887,0.794013801561994,0.788876583280717,0.791804989456048,1.31997592258109,1.32180057183802,1.31588870253387,1.31739130942077,101.335034596753,101.566716506213,101.049476568565,101.352055726597,929.912578539,543.082270695287,4.2829846912993,0.00515701444444444,2.00155794883531,6.04233563795019,0.000153708862570211,0.0360082458182057,1.30162614530567,0.475035555555555,0.196226666666667,0.296403333333333,0.796737,0.799474444444444,0.794836333333333,0.798001222222222,1.33447955555556,1.33730166666667,1.33136288888889,1.33444311111111,102.815655555556,103.062533333333,102.5225,102.825133333333,1077.31416131556,628.468500812055,7.05297727455773,0.00548371526870332,2.60483095377624,8.33067692764993,0.000217696043926806,0.0485951450169576,1.72001442986227,0.505762062460848,0.221664120143948,0.320603239696381,0.803354151918113,0.804935087326895,0.800796083385949,0.804197454988396,1.34898318853003,1.35280276149531,1.3468370752439,1.35149491280145,104.296276514358,104.558350160453,103.995523431435,104.29821094007
2014-08-02,1008.77238928543,588.230699161141,5.68431336876547,0.005297,2.49597199948295,7.63131532172015,0.000206283808465705,0.0458599032777817,1.55231362219481,0.489,0.208,0.308,0.7925,0.7985,0.7918,0.7979,1.339,1.3444,1.3377,1.3429,102.78,103.02,102.32,102.61,787.367324494893,460.476681491697,1.6245819988346,0.00484141362018557,1.41965998659765,3.83008226878471,9.20965892111204e-05,0.0239616622077825,0.89572091627625,0.44597571531693,0.172055879856052,0.273503426970285,0.79000318141522,0.794083801561994,0.788829916614051,0.791871656122715,1.32071925591442,1.32258057183802,1.31664203586721,1.31818130942077,101.292034596753,101.528716506213,101.001809901898,101.310722393264,934.768907271455,545.862911608466,4.39457458209302,0.00516811444444445,2.02293299153858,6.11842355848444,0.000156083770567715,0.0365485614065343,1.31410920083285,0.476702222222222,0.197493333333333,0.297703333333333,0.796620333333333,0.799544444444444,0.794789666666667,0.798067888888889,1.33522288888889,1.33808166666667,1.33211622222222,1.33523311111111,102.772655555556,103.024533333333,102.474833333333,102.7838,1082.17049004802,631.249141725234,7.16456716535145,0.00549481526870332,2.62620599647951,8.40676484818418,0.00022007095192431,0.0491354606052862,1.73249748538945,0.507428729127515,0.222930786810615,0.321903239696381,0.803237485251447,0.805005087326895,0.800749416719282,0.804264121655063,1.34972652186336,1.35358276149531,1.34759040857724,1.35228491280145,104.253276514358,104.520350160453,103.947856764768,104.256877606736
2014-08-03,1004.41650004471,585.573194076699,5.79355062993692,0.005219,2.35841081609629,7.53390739801098,0.000200385901433466,0.0476238032618914,1.51694459215778,0.489,0.208,0.308,0.7925,0.7985,0.7918,0.7979,1.339,1.3444,1.3377,1.3429,102.78,103.02,102.32,102.61,791.893801276338,463.063078130402,1.72343987538622,0.00485681362018557,1.43616447481075,3.89952600566034,9.39833559141428e-05,0.0245419629673837,0.907286447239592,0.447509048650263,0.173289213189385,0.274736760303619,0.78990318141522,0.794143801561994,0.788736583280717,0.791934989456048,1.32138258924775,1.32334723850469,1.31735536920054,1.3190546427541,101.250034596753,101.49038317288,100.955143235232,101.262722393264,939.2953840529,548.44930824717,4.49343245864464,0.00518351444444445,2.03943747975168,6.18786729536008,0.000157970537270738,0.0371288621661356,1.32567473179619,0.478235555555556,0.198726666666667,0.298936666666667,0.796520333333333,0.799604444444444,0.794696333333333,0.798131222222222,1.33588622222222,1.33884833333333,1.33282955555556,1.33610644444444,102.730655555556,102.9862,102.428166666667,102.7358,1086.69696682946,633.835538363938,7.26342504190307,0.00551021526870332,2.64271048469261,8.47620858505982,0.000221957718627333,0.0497157613648875,1.7440630163528,0.508962062460848,0.224164120143948,0.323136573029715,0.803137485251446,0.805065087326895,0.800656083385949,0.804327454988397,1.35038985519669,1.35434942816198,1.34830374191057,1.35315824613479,104.211276514358,104.48201682712,103.901190098102,104.208877606736
2014-08-04,1004.98413805384,586.368685911397,5.27681530383097,0.004947,1.99882723487353,7.39255406362461,0.000200504181776922,0.0456194654984579,1.60258720197421,0.488,0.208,0.307,0.7979,0.7985,0.7954,0.7959,1.3426,1.3433,1.3407,1.3421,102.57,102.73,102.38,102.58,796.848238170048,465.902641266292,1.82857801020465,0.00486571362018557,1.44695325983738,3.97694703860109,9.69268227260473e-05,0.0251766363285218,0.919596737646004,0.44887571531693,0.174389213189385,0.275870093636952,0.78972318141522,0.794137134895327,0.788636583280717,0.792018322789382,1.32195592258109,1.32410057183802,1.31800536920054,1.31984797608744,101.196034596753,101.44338317288,100.904476568565,101.21538905993,944.249820946611,551.28887138306,4.59857059346308,0.00519241444444445,2.05022626477831,6.26528832830083,0.000160914004082642,0.0377635355272736,1.33798502220261,0.479602222222222,0.199826666666667,0.30007,0.796340333333333,0.799597777777778,0.794596333333333,0.798214555555556,1.33645955555556,1.33960166666667,1.33347955555556,1.33689977777778,102.676655555556,102.9392,102.3775,102.688466666667,1091.65140372317,636.675101499828,7.3685631767215,0.00551911526870332,2.65349926971924,8.55362961800057,0.000224901185439237,0.0503504347260255,1.75637330675921,0.510328729127515,0.225264120143948,0.324269906363048,0.802957485251447,0.805058420660228,0.800556083385949,0.80441078832173,1.35096318853003,1.35510276149531,1.34895374191057,1.35395157946812,104.157276514358,104.43501682712,103.850523431435,104.161544273403
2014-08-05,998.041056483019,582.418626764976,5.36353778389156,0.005104,2.15227522077392,7.19931110888764,0.000186253000450689,0.0421506605563522,1.55362510812153,0.488,0.207,0.307,0.7959,0.7968,0.7915,0.7921,1.3421,1.3424,1.3357,1.3375,102.56,102.92,102.43,102.59,801.369678747141,468.511137463339,1.90187634851778,0.00485888028685224,1.44838365295301,4.04148220312504,9.9517743213359e-05,0.0257166382524649,0.935218138078568,0.449709048650263,0.175222546522718,0.276503426970285,0.789626514748554,0.794033801561994,0.788566583280717,0.791901656122715,1.32243925591442,1.32455390517135,1.31863203586721,1.3204446427541,101.15370126342,101.395049839547,100.867809901898,101.170722393264,948.771261523704,553.897367580107,4.67186893177621,0.00518558111111111,2.05165665789394,6.32982349282477,0.000163504924569954,0.0383035374512168,1.35360642263517,0.480435555555556,0.20066,0.300703333333333,0.796243666666667,0.799494444444444,0.794526333333333,0.798097888888889,1.33694288888889,1.340055,1.33410622222222,1.33749644444444,102.634322222222,102.890866666667,102.340833333333,102.6438,1096.17284430027,639.283597696875,7.44186151503463,0.00551228193536999,2.65492966283487,8.61816478252451,0.000227492105926549,0.0508904366499687,1.77199470719177,0.511162062460848,0.226097453477282,0.324903239696381,0.80286081858478,0.804955087326895,0.800486083385949,0.804294121655063,1.35144652186336,1.35555609482865,1.34958040857724,1.35454824613478,104.114943181025,104.386683493787,103.813856764768,104.116877606736
2014-08-06,999.866317819125,583.325,5.76332744971397,0.005258,2.18533906713663,7.17064578046576,0.000179215654996193,0.0413871026947692,1.53227702932895,0.487,0.206,0.306,0.7921,0.7944,0.7907,0.7938,1.3375,1.3387,1.3331,1.3381,102.57,102.64,101.77,102.09,806.322422797841,471.372798355505,1.98126493368169,0.00486191362018557,1.4598410507084,4.11827844940634,0.000101758692150647,0.0261659335337597,0.950709667640723,0.450542381983596,0.176022546522718,0.277136760303618,0.78946318141522,0.793873801561994,0.788366583280717,0.791658322789381,1.32290592258109,1.32497723850469,1.31909203586721,1.32088797608744,101.111034596753,101.353049839547,100.832809901898,101.12638905993,953.724005574404,556.759028472273,4.75125751694011,0.00518861444444445,2.06311405564934,6.40661973910608,0.000165745873507242,0.0387528327325116,1.36909795219733,0.481268888888889,0.20146,0.301336666666666,0.796080333333333,0.799334444444444,0.794326333333333,0.797854555555556,1.33740955555556,1.34047833333333,1.33456622222222,1.33793977777778,102.591655555556,102.848866666667,102.305833333333,102.599466666667,1101.12558835097,642.145258589041,7.52125010019854,0.00551531526870332,2.66638706059027,8.69496102880582,0.000229733054863837,0.0513397319312635,1.78748623675393,0.511995395794181,0.226897453477282,0.325536573029715,0.802697485251446,0.804795087326895,0.800286083385949,0.80405078832173,1.35191318853003,1.35597942816198,1.35004040857724,1.35499157946812,104.072276514358,104.344683493787,103.778856764768,104.072544273403
2014-08-07,1006.14400486159,587.203159018805,5.66105440385685,0.005343,2.13545018248724,7.16068862688053,0.000178500283324491,0.0403088037027669,1.517107426358,0.484,0.205,0.304,0.7937,0.7956,0.7921,0.7939,1.3382,1.3393,1.3336,1.3362,102.09,102.46,101.97,102.09,810.232746724533,473.622755022171,2.06732339974238,0.00486698028685224,1.47309370397412,4.18166094934532,0.000103583920627555,0.0265139113856671,0.962841366658268,0.451342381983596,0.176789213189385,0.277736760303618,0.78917318141522,0.793633801561994,0.78813991661405,0.791471656122715,1.32321925591442,1.32527723850469,1.31946536920054,1.32135130942077,101.06870126342,101.301716506213,100.775809901898,101.06538905993,957.634329501095,559.008985138939,4.83731598300081,0.00519368111111111,2.07636670891505,6.47000223904506,0.00016757110198415,0.0391008105844189,1.38122965121487,0.482068888888889,0.202226666666667,0.301936666666666,0.795790333333333,0.799094444444444,0.794099666666666,0.797667888888889,1.33772288888889,1.34077833333333,1.33493955555556,1.33840311111111,102.549322222222,102.797533333333,102.248833333333,102.538466666667,1105.03591227766,644.395215255708,7.60730856625923,0.00552038193536999,2.67963971385599,8.7583435287448,0.000231558283340745,0.0516877097831708,1.79961793577147,0.512795395794181,0.227664120143948,0.326136573029715,0.802407485251447,0.804555087326895,0.800059416719282,0.803864121655063,1.35222652186336,1.35627942816198,1.35041374191057,1.35545491280145,104.029943181025,104.293350160453,103.721856764768,104.011544273403
2014-08-08,1012.50563512497,590.907270224519,5.9834435825888,0.005461,2.17253717791108,7.0370284981849,0.000166853066287193,0.0391376814048197,1.50305511922703,0.482,0.203,0.302,0.7939,0.7997,0.793,0.7996,1.3362,1.3432,1.3342,1.341,102.09,102.14,101.49,102.04,814.360948595921,476.009360322798,2.14265471720146,0.0048742469535189,1.48415678035283,4.22742579365706,0.000105195319861092,0.0268355530988446,0.974276513722457,0.452009048650263,0.177422546522718,0.278303426970285,0.789006514748553,0.793450468228661,0.787953249947384,0.791234989456048,1.32362925591442,1.32562723850469,1.31978203586721,1.32162130942077,101.013367930086,101.251716506213,100.722143235232,101.007722393264,961.762531372483,561.395590439566,4.91264730045988,0.00520094777777778,2.08742978529377,6.5157670833568,0.000169182501217687,0.0394224522975965,1.39266479827906,0.482735555555556,0.20286,0.302503333333333,0.795623666666666,0.798911111111111,0.793913,0.797431222222222,1.33813288888889,1.34112833333333,1.33525622222222,1.33867311111111,102.493988888889,102.747533333333,102.195166666667,102.4808,1109.16411414905,646.781820556334,7.68263988371831,0.00552764860203665,2.6907027902347,8.80410837305654,0.000233169682574282,0.0520093514963484,1.81105308283566,0.513462062460848,0.228297453477282,0.326703239696381,0.80224081858478,0.804371753993561,0.799872750052615,0.803627454988396,1.35263652186336,1.35662942816198,1.35073040857724,1.35572491280145,103.974609847691,104.243350160453,103.668190098102,103.953877606736
2014-08-09,1006.84619297706,588.107855983576,5.59137381500949,0.005243,2.09759354534548,6.93291839626131,0.000166424571047293,0.0368522375995679,1.46646087085976,0.482,0.203,0.302,0.7939,0.7997,0.793,0.7996,1.3362,1.3432,1.3342,1.341,102.09,102.14,101.49,102.04,818.761099890423,478.566725996949,2.2146910167416,0.00488058028685224,1.49522547390966,4.27948793680758,0.000106414422541512,0.0270269386037031,0.983639494523139,0.452542381983596,0.177955879856052,0.278736760303618,0.78877318141522,0.793383801561994,0.787836583280717,0.791248322789381,1.32377592258109,1.32598723850469,1.32007870253387,1.32212797608744,100.986367930086,101.195049839547,100.676476568565,100.95138905993,966.162682666985,563.952956113717,4.98468360000002,0.00520728111111111,2.09849847885059,6.56782922650732,0.000170401603898107,0.039613837802455,1.40202777907974,0.483268888888889,0.203393333333333,0.302936666666667,0.795390333333333,0.798844444444444,0.793796333333333,0.797444555555556,1.33827955555556,1.34148833333333,1.33555288888889,1.33917977777778,102.466988888889,102.690866666667,102.1495,102.424466666667,1113.56426544355,649.339186230485,7.75467618325845,0.00553398193536999,2.70177148379153,8.85617051620706,0.000234388785254702,0.0522007370012069,1.82041606363634,0.513995395794181,0.228830786810615,0.327136573029715,0.802007485251446,0.804305087326895,0.799756083385949,0.80364078832173,1.35278318853003,1.35698942816198,1.3510270752439,1.35623157946812,103.947609847691,104.186683493787,103.622523431435,103.897544273403
